test,result,detail
rv32ui-p-add_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-add_nocsr.log
rv32ui-p-addi_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-addi_nocsr.log
rv32ui-p-and_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-and_nocsr.log
rv32ui-p-andi_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-andi_nocsr.log
rv32ui-p-auipc_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-auipc_nocsr.log
rv32ui-p-beq_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-beq_nocsr.log
rv32ui-p-bge_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-bge_nocsr.log
rv32ui-p-bgeu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-bgeu_nocsr.log
rv32ui-p-blt_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-blt_nocsr.log
rv32ui-p-bltu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-bltu_nocsr.log
rv32ui-p-bne_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-bne_nocsr.log
rv32ui-p-fence_i_nocsr,FAIL,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-fence_i_nocsr.log
rv32ui-p-jal_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-jal_nocsr.log
rv32ui-p-jalr_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-jalr_nocsr.log
rv32ui-p-lb_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-lb_nocsr.log
rv32ui-p-lbu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-lbu_nocsr.log
rv32ui-p-ld_st_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-ld_st_nocsr.log
rv32ui-p-lh_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-lh_nocsr.log
rv32ui-p-lhu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-lhu_nocsr.log
rv32ui-p-lui_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-lui_nocsr.log
rv32ui-p-lw_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-lw_nocsr.log
rv32ui-p-ma_data_nocsr,FAIL,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-ma_data_nocsr.log
rv32ui-p-or_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-or_nocsr.log
rv32ui-p-ori_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-ori_nocsr.log
rv32ui-p-sb_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sb_nocsr.log
rv32ui-p-sh_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sh_nocsr.log
rv32ui-p-simple_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-simple_nocsr.log
rv32ui-p-sll_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sll_nocsr.log
rv32ui-p-slli_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-slli_nocsr.log
rv32ui-p-slt_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-slt_nocsr.log
rv32ui-p-slti_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-slti_nocsr.log
rv32ui-p-sltiu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sltiu_nocsr.log
rv32ui-p-sltu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sltu_nocsr.log
rv32ui-p-sra_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sra_nocsr.log
rv32ui-p-srai_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-srai_nocsr.log
rv32ui-p-srl_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-srl_nocsr.log
rv32ui-p-srli_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-srli_nocsr.log
rv32ui-p-st_ld_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-st_ld_nocsr.log
rv32ui-p-sub_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sub_nocsr.log
rv32ui-p-sw_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-sw_nocsr.log
rv32ui-p-xor_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-xor_nocsr.log
rv32ui-p-xori_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32ui-p-xori_nocsr.log
rv32um-p-div_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32um-p-div_nocsr.log
rv32um-p-divu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32um-p-divu_nocsr.log
rv32um-p-mul_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32um-p-mul_nocsr.log
rv32um-p-mulh_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32um-p-mulh_nocsr.log
rv32um-p-mulhsu_nocsr,PASS,D:\riscv32_pipeline_cache\report_artifacts\cache_bram_integration\rv32um-p-mulhsu_nocsr.log
